Budget/Actual/Commitmt/Rem.Plan/Assigned	Current data (14.05.2025 15:05:01)
 Plan version        0     Plan/Act - Version
	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values	Overall values
**  Purchase of Ash inle WBS NL-N-TS2-002-01-09	         3425598.56	         3425598.56	               0.00	         3425598.56	               0.00	         3425598.56	         3425598.56	               0.00	         3425598.56	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3425598.56	         3425598.56	               0.00	         3425598.56	               0.00
**  Purchase of ceramic  WBS NL-N-TS2-002-01-10	         1211960.06	         1211960.06	               0.00	         1211960.06	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1211960.06	         1211960.06	               0.00	         1211960.06	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1211960.06	         1211960.06	               0.00	         1211960.06	               0.00
**  CSS Pipe 8/10 Inch A WBS NL-N-TS2-002-01-12	        43980500.00	               0.00	        43980500.00	        43980500.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        43980500.00	               0.00	        43980500.00	        43980500.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        43980500.00	               0.00	        43980500.00	        43980500.00	               0.00
**  ASH INLET CUPVALVE A WBS NL-N-TS2-002-01-14	        51357384.96	               0.00	        51357384.96	        51357384.96	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        51357384.96	               0.00	        51357384.96	        51357384.96	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        51357384.96	               0.00	        51357384.96	        51357384.96	               0.00
**  Air Block-Compressor WBS NL-N-TS2-002-01-15	        64976932.46	               0.00	        64976932.46	        64976932.46	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        64976932.46	               0.00	        64976932.46	        64976932.46	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        64976932.46	               0.00	        64976932.46	        64976932.46	               0.00
*** CIVIL                WBS NL-N-TS2-002-02	       348487074.78	       194950981.41	       152705548.01	       347656529.42	          830545.36	       201676531.12	       200652881.13	               0.00	       200652881.13	         1023649.99	       146810543.66	        -5701899.72	       152705548.01	       147003648.29	         -193104.63	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       348591261.69	       194950981.41	       152705548.01	       347656529.42	          934732.27
**  Rehabilitation works WBS NL-N-TS2-002-02-01	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
**  Rehabilitation works WBS NL-N-TS2-002-02-02	        18780348.93	        18780348.93	               0.00	        18780348.93	               0.00	        18780348.93	        18780348.93	               0.00	        18780348.93	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        18780348.93	        18780348.93	               0.00	        18780348.93	               0.00
**  Water  Proofing work WBS NL-N-TS2-002-02-05	         8872831.53	         6281602.89	         2566884.20	         8848487.09	           24344.44	         6305947.33	         6281602.89	               0.00	         6281602.89	           24344.44	         2566884.20	               0.00	         2566884.20	         2566884.20	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8872831.53	         6281602.89	         2566884.20	         8848487.09	           24344.44
**  Paver block pavement WBS NL-N-TS2-002-02-06	         6082931.41	         6082931.41	               0.00	         6082931.41	               0.00	         6082931.41	         6082931.41	               0.00	         6082931.41	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         6082931.41	         6082931.41	               0.00	         6082931.41	               0.00
**  Rehabilitation works WBS NL-N-TS2-002-02-07	        20904541.88	        20680612.08	               0.00	        20680612.08	          223929.80	        20904541.88	        20680612.08	               0.00	        20680612.08	          223929.80	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        20904541.88	        20680612.08	               0.00	        20680612.08	          223929.80
**  Roof& cladding to JT WBS NL-N-TS2-002-02-09	         3186642.45	         3186642.45	               0.00	         3186642.45	               0.00	         3186642.45	         3186642.45	               0.00	         3186642.45	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3186642.45	         3186642.45	               0.00	         3186642.45	               0.00
**  Painting of  Boiler  WBS NL-N-TS2-002-02-10	         1838450.46	         1283419.04	               0.00	         1283419.04	          555031.42	         1838450.46	         1283419.04	               0.00	         1283419.04	          555031.42	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1838450.46	         1283419.04	               0.00	         1283419.04	          555031.42
**  Repair& painting of  WBS NL-N-TS2-002-02-11	         3896420.89	         3896420.89	               0.00	         3896420.89	               0.00	         3896420.89	         3896420.89	               0.00	         3896420.89	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3896420.89	         3896420.89	               0.00	         3896420.89	               0.00
**  Coat over existing b WBS NL-N-TS2-002-02-12	         1813726.51	         1813726.51	               0.00	         1813726.51	               0.00	         1813726.51	         1813726.51	               0.00	         1813726.51	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1813726.51	         1813726.51	               0.00	         1813726.51	               0.00
**  Providing golvelume  WBS NL-N-TS2-002-02-13	         1517070.85	         1517070.85	               0.00	         1517070.85	               0.00	         1517070.85	         1517070.85	               0.00	         1517070.85	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1517070.85	         1517070.85	               0.00	         1517070.85	               0.00
**  Restoration  sheets  WBS NL-N-TS2-002-02-17	        13027194.37	        12373433.20	          653761.17	        13027194.37	               0.00	        12449036.98	        12373433.20	               0.00	        12373433.20	           75603.78	          578157.39	               0.00	          653761.17	          653761.17	          -75603.78	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        13027194.37	        12373433.20	          653761.17	        13027194.37	               0.00
**  Restoration sheet  B WBS NL-N-TS2-002-02-18	        12685552.22	        12685552.16	               0.06	        12685552.22	               0.00	        12685552.16	        12685552.16	               0.00	        12685552.16	               0.00	               0.06	               0.00	               0.06	               0.06	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        12685552.22	        12685552.16	               0.06	        12685552.22	               0.00
**  Installation&Commiss WBS NL-N-TS2-002-02-21	        14181240.06	         7944114.00	         6237126.06	        14181240.06	               0.00	         7944114.00	         7944114.00	               0.00	         7944114.00	               0.00	         6237126.06	               0.00	         6237126.06	         6237126.06	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        14181240.06	         7944114.00	         6237126.06	        14181240.06	               0.00
**  Upgraditaion of Weig WBS NL-N-TS2-002-02-22	          443809.82	          430495.86	           13313.96	          443809.82	               0.00	          443809.80	          430495.86	               0.00	          430495.86	           13313.94	               0.02	               0.00	           13313.96	           13313.96	          -13313.94	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          443809.82	          430495.86	           13313.96	          443809.82	               0.00
**  Retrofit outside pla WBS NL-N-TS2-002-02-24	        19026910.03	        18928675.00	           98235.03	        19026910.03	               0.00	        18928675.00	        18928675.00	               0.00	        18928675.00	               0.00	           98235.03	               0.00	           98235.03	           98235.03	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        19026910.03	        18928675.00	           98235.03	        19026910.03	               0.00
**  Laterite Platform fo WBS NL-N-TS2-002-02-25	         8065282.96	         8065282.96	               0.00	         8065282.96	               0.00	         8065282.96	         8065282.96	               0.00	         8065282.96	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8065282.96	         8065282.96	               0.00	         8065282.96	               0.00
**  Civil & Structural w WBS NL-N-TS2-002-02-26	         1619421.75	         1619421.75	               0.00	         1619421.75	               0.00	         1619421.75	         1619421.75	               0.00	         1619421.75	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1619421.75	         1619421.75	               0.00	         1619421.75	               0.00
**  Cover Shed for ESP T WBS NL-N-TS2-002-02-27	         1719385.54	         1692145.84	               0.00	         1692145.84	           27239.70	         1719385.54	         1692145.84	               0.00	         1692145.84	           27239.70	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1719385.54	         1692145.84	               0.00	         1692145.84	           27239.70
**  Unit-5 Lift enclose  WBS NL-N-TS2-002-02-28	         2921029.03	         2520119.44	          400909.59	         2921029.03	               0.00	         2520119.44	         2520119.44	               0.00	         2520119.44	               0.00	          400909.59	               0.00	          400909.59	          400909.59	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2921029.03	         2520119.44	          400909.59	         2921029.03	               0.00
**  Repair of J-Row Wall WBS NL-N-TS2-002-02-30	         1446652.07	          840520.82	          606131.25	         1446652.07	               0.00	          944707.73	          840520.82	               0.00	          840520.82	          104186.91	          501944.34	               0.00	          606131.25	          606131.25	         -104186.91	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1550838.98	          840520.82	          606131.25	         1446652.07	          104186.91
**  Modification of Powe WBS NL-N-TS2-002-02-33	          383179.44	          383179.44	               0.00	          383179.44	               0.00	          383179.44	          383179.44	               0.00	          383179.44	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          383179.44	          383179.44	               0.00	          383179.44	               0.00
**  REPAIR OF LHS TRACKS WBS NL-N-TS2-002-02-34	        37419688.03	         5076264.42	        32343423.61	        37419688.03	               0.00	        10778164.14	        10778164.14	               0.00	        10778164.14	               0.00	        26641523.89	        -5701899.72	        32343423.61	        26641523.89	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        37419688.03	         5076264.42	        32343423.61	        37419688.03	               0.00
**  Manu.&supply of slee WBS NL-N-TS2-002-02-35	         8902303.07	         7107621.20	         1794681.87	         8902303.07	               0.00	         7107621.20	         7107621.20	               0.00	         7107621.20	               0.00	         1794681.87	               0.00	         1794681.87	         1794681.87	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8902303.07	         7107621.20	         1794681.87	         8902303.07	               0.00
**  Formation of new WBM WBS NL-N-TS2-002-02-38	        42691526.33	        11577802.24	        31113724.09	        42691526.33	               0.00	        11577802.24	        11577802.24	               0.00	        11577802.24	               0.00	        31113724.09	               0.00	        31113724.09	        31113724.09	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        42691526.33	        11577802.24	        31113724.09	        42691526.33	               0.00
**  IMPROVE  BT ROAD TO  WBS NL-N-TS2-002-02-39	        40854174.71	        37674704.30	         3179470.41	        40854174.71	               0.00	        37674704.30	        37674704.30	               0.00	        37674704.30	               0.00	         3179470.41	               0.00	         3179470.41	         3179470.41	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        40854174.71	        37674704.30	         3179470.41	        40854174.71	               0.00
**  WIDEN EXISTING OUTER WBS NL-N-TS2-002-02-40	        13436174.11	         2508873.73	        10927300.38	        13436174.11	               0.00	         2508873.73	         2508873.73	               0.00	         2508873.73	               0.00	        10927300.38	               0.00	        10927300.38	        10927300.38	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        13436174.11	         2508873.73	        10927300.38	        13436174.11	               0.00
**  galvaume sheets- tra WBS NL-N-TS2-002-02-41	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
**  galvaume sheets-LHS  WBS NL-N-TS2-002-02-42	         7878655.42	               0.00	         7878655.42	         7878655.42	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         7878655.42	               0.00	         7878655.42	         7878655.42	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         7878655.42	               0.00	         7878655.42	         7878655.42	               0.00
**  galvaume sheets-7AB  WBS NL-N-TS2-002-02-43	        10621883.48	               0.00	        10621883.48	        10621883.48	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        10621883.48	               0.00	        10621883.48	        10621883.48	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        10621883.48	               0.00	        10621883.48	        10621883.48	               0.00
**  LIFT CONSTRUCTION- A WBS NL-N-TS2-002-02-44	         1653112.51	               0.00	         1653112.51	         1653112.51	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1653112.51	               0.00	         1653112.51	         1653112.51	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1653112.51	               0.00	         1653112.51	         1653112.51	               0.00
**  PROVIDING GALVALUME  WBS NL-N-TS2-002-02-45	         8620822.04	               0.00	         8620822.04	         8620822.04	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8620822.04	               0.00	         8620822.04	         8620822.04	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8620822.04	               0.00	         8620822.04	         8620822.04	               0.00
**  IMPROVEMENT IN CANTE WBS NL-N-TS2-002-02-46	         5964987.14	               0.00	         5964987.14	         5964987.14	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         5964987.14	               0.00	         5964987.14	         5964987.14	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         5964987.14	               0.00	         5964987.14	         5964987.14	               0.00
**  RCC SETTLING TANK FO WBS NL-N-TS2-002-02-47	        16938507.70	               0.00	        16938507.70	        16938507.70	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        16938507.70	               0.00	        16938507.70	        16938507.70	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        16938507.70	               0.00	        16938507.70	        16938507.70	               0.00
**  WATER PROOFING TREAT WBS NL-N-TS2-002-02-48	        11092618.04	               0.00	        11092618.04	        11092618.04	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        11092618.04	               0.00	        11092618.04	        11092618.04	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        11092618.04	               0.00	        11092618.04	        11092618.04	               0.00
*** ELECTRICAL O & S     WBS NL-N-TS2-002-03	        67038344.33	        31970221.42	        35068122.91	        67038344.33	               0.00	        31970221.42	        31970221.42	               0.00	        31970221.42	               0.00	        35068122.91	               0.00	        35068122.91	        35068122.91	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        68450788.37	        31970221.42	        35068122.91	        67038344.33	         1412444.04
**  Retrofit of relay fo WBS NL-N-TS2-002-03-01	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
**  Battery charger 220V WBS NL-N-TS2-002-03-02	         4476239.99	         4476239.99	               0.00	         4476239.99	               0.00	         4476239.99	         4476239.99	               0.00	         4476239.99	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         4476239.99	         4476239.99	               0.00	         4476239.99	               0.00
**  Replace  1180AH cap  WBS NL-N-TS2-002-03-03	        18489989.03	        18489989.03	               0.00	        18489989.03	               0.00	        18489989.03	        18489989.03	               0.00	        18489989.03	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        18489989.03	        18489989.03	               0.00	        18489989.03	               0.00
**  Replace 1285AH cap b WBS NL-N-TS2-002-03-04	         6552405.79	         6552405.79	               0.00	         6552405.79	               0.00	         6552405.79	         6552405.79	               0.00	         6552405.79	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         6552405.79	         6552405.79	               0.00	         6552405.79	               0.00
**  Swyrd PLCC  48V/ 300 WBS NL-N-TS2-002-03-10	         2543985.60	               0.00	         2543985.60	         2543985.60	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2543985.60	               0.00	         2543985.60	         2543985.60	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2543985.60	               0.00	         2543985.60	         2543985.60	               0.00
**  Swyrd Source  220V/  WBS NL-N-TS2-002-03-11	         2932252.80	               0.00	         2932252.80	         2932252.80	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2932252.80	               0.00	         2932252.80	         2932252.80	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2932252.80	               0.00	         2932252.80	         2932252.80	               0.00
**  48V Thyrister based  WBS NL-N-TS2-002-03-14	          324999.99	          324999.99	               0.00	          324999.99	               0.00	          324999.99	          324999.99	               0.00	          324999.99	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          324999.99	          324999.99	               0.00	          324999.99	               0.00
**  Control cable 4 core WBS NL-N-TS2-002-03-21	          730707.73	          730707.73	               0.00	          730707.73	               0.00	          730707.73	          730707.73	               0.00	          730707.73	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          730707.73	          730707.73	               0.00	          730707.73	               0.00
