Budget/Actual/Commitmt/Rem.Plan/Assigned	Current data (24.09.2025 15:12:00)
 Plan version        0     Plan/Act - Version
	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values	Overall values
6*  Mine 1 Capex Project PRJ NL-C-MN1-001	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
6*  Mines III Capex Proj PRJ NL-C-MN3-001	           85900.00	           85892.20	               0.00	           85892.20	               7.80	           85900.00	           85892.20	               0.00	           85892.20	               7.80	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           85900.00	           85892.20	               0.00	           85892.20	               7.80
6*  Talabira II & III OC PRJ NL-C-MTL-001	      1640000000.00	      2643120478.36	       818648752.97	      3461769231.33	     -1821769231.33	      1640000000.00	      2665284484.55	       818648752.97	      3483933237.52	     -1843933237.52	               0.00	       -22164006.19	               0.00	       -22164006.19	        22164006.19	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      1640000000.00	      2643120478.36	       818648752.97	      3461769231.33	     -1821769231.33
6*  Talabira II & III OC PRJ NL-C-MTL-002	      3999726855.31	       982923368.61	      1062113467.70	      2045036836.31	      1954690019.00	       910030088.74	       777361410.11	               0.00	       777361410.11	       132668678.63	      3089696766.57	       205561958.50	      1062113467.70	      1267675426.20	      1822021340.37	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      3999726855.31	       982923368.61	      1062113467.70	      2045036836.31	      1954690019.00
6*  North Dhadu (Western PRJ NL-C-NDM-001	      1000000000.00	               0.00	               0.00	               0.00	      1000000000.00	               0.00	               0.00	               0.00	               0.00	               0.00	      1000000000.00	               0.00	               0.00	               0.00	      1000000000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      1000000000.00	               0.00	               0.00	               0.00	      1000000000.00
6*  NNTPP CAPEX PROJECT  PRJ NL-C-NNT-001	      2120002000.00	      1292672122.49	       654263315.25	      1946935437.74	       173066562.26	      1295641300.24	      1292582411.03	               0.00	      1292582411.03	         3058889.21	       824360699.76	           89711.46	       654263315.25	       654353026.71	       170007673.05	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      2120002000.00	      1292672122.49	       654263315.25	      1946935437.74	       173066562.26
6*  NNTPP Flue Gas Desul PRJ NL-C-NNT-002	     11314238700.61	     10000612670.39	       946527142.74	     10947139813.13	       367098887.48	      9467705622.64	      9707897030.08	        55276813.22	      9763173843.30	      -295468220.66	      1846533077.97	       292715640.31	       891250329.52	      1183965969.83	       662567108.14	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	     11314238700.61	     10000612670.39	       946527142.74	     10947139813.13	       367098887.48
6*  New Patrapara South  PRJ NL-C-NPS-001	      2400000000.00	        15384102.60	         5548669.67	        20932772.27	      2379067227.73	               0.00	               0.00	               0.00	               0.00	               0.00	      2400000000.00	        15384102.60	         5548669.67	        20932772.27	      2379067227.73	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      2400000000.00	        15384102.60	         5548669.67	        20932772.27	      2379067227.73
6*  IREDA-CPSU Scheme Ph PRJ NL-C-PBD-001	        60180000.00	               0.00	               0.00	               0.00	        60180000.00	        60180000.00	               0.00	               0.00	               0.00	        60180000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        60180000.00	               0.00	               0.00	               0.00	        60180000.00
6*  Neyveli 2x65 MW Sola PRJ NL-C-PBD-002	        10669830.00	        10289078.01	          380751.03	        10669829.04	               0.96	        10669830.00	        10289078.01	          380751.03	        10669829.04	               0.96	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        10669830.00	        10289078.01	          380751.03	        10669829.04	               0.96
6*  Solar 10 MW Power Pr PRJ NL-C-SOL-001	       175000000.00	       453596291.78	       144501373.34	       598097665.12	      -423097665.12	       175000000.00	       453596291.78	       144501373.34	       598097665.12	      -423097665.12	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       175000000.00	       453596291.78	       144501373.34	       598097665.12	      -423097665.12
6*  Solar 50 MW in Mine  PRJ NL-C-SOL-002	      1807443528.00	      1617265218.91	       190161020.37	      1807426239.28	           17288.72	      1377480844.92	      1377480844.92	               0.00	      1377480844.92	               0.00	       429962683.08	       239784373.99	       190161020.37	       429945394.36	           17288.72	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      1807443528.00	      1617265218.91	       190161020.37	      1807426239.28	           17288.72
6*  200 MW Solar Power G PRJ NL-C-SOL-003	        12322960.04	         3156406.71	         2135408.38	         5291815.09	         7031144.95	         1590212.52	         1590212.52	               0.00	         1590212.52	               0.00	        10732747.52	         1566194.19	         2135408.38	         3701602.57	         7031144.95	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        12322960.04	         3156406.71	         2135408.38	         5291815.09	         7031144.95
6*  100 MW SOLAR (HYBRID PRJ NL-C-SOL-004	      1350000000.00	         1176000.00	          574000.00	         1750000.00	      1348250000.00	         1176000.00	         1176000.00	               0.00	         1176000.00	               0.00	      1348824000.00	               0.00	          574000.00	          574000.00	      1348250000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      1350000000.00	         1176000.00	          574000.00	         1750000.00	      1348250000.00
6*  2.5 MW RTS & 1 MW FT PRJ NL-C-SOL-005	       163900000.00	               0.00	       431760237.37	       431760237.37	      -267860237.37	               0.00	               0.00	               0.00	               0.00	               0.00	       163900000.00	               0.00	       431760237.37	       431760237.37	      -267860237.37	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       163900000.00	               0.00	       431760237.37	       431760237.37	      -267860237.37
6*  400 KW RTS at BTPS   PRJ NL-C-SOL-006	               0.00	               0.00	        27554970.56	        27554970.56	       -27554970.56	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        26138970.56	        26138970.56	       -26138970.56	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1416000.00	         1416000.00	        -1416000.00	               0.00	               0.00	        27554970.56	        27554970.56	       -27554970.56
6*  TPS2 Second Expansio PRJ NL-C-T22-001	        54229250.70	        46879266.72	          837800.00	        47717066.72	         6512183.98	        36461699.94	        45813962.72	               0.00	        45813962.72	        -9352262.78	        17767550.76	         1065304.00	          837800.00	         1903104.00	        15864446.76	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        54229250.70	        46879266.72	          837800.00	        47717066.72	         6512183.98
6*  Performance Improvem PRJ NL-C-T2E-001	      2066995587.28	       941952317.82	        67563765.19	      1009516083.01	      1057479504.27	       919574789.34	       919574789.34	               0.00	       919574789.34	               0.00	      1147420797.94	        22377528.48	        67563765.19	        89941293.67	      1057479504.27	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      2066995587.28	       941952317.82	        67563765.19	      1009516083.01	      1057479504.27
6*  Mini Smart City      PRJ NL-C-TAA-001	       173380000.00	        15306096.87	        30237096.35	        45543193.22	       127836806.78	         6139687.50	         6139687.50	               0.00	         6139687.50	               0.00	       167240312.50	         9166409.37	        30237096.35	        39403505.72	       127836806.78	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       173380000.00	        15306096.87	        30237096.35	        45543193.22	       127836806.78
6*  NLC Talabira Thermal PRJ NL-C-TPP-001	      9326172402.37	      5492684408.75	      1887947955.47	      7380632364.22	      1945540038.15	      2548966718.39	      1567062401.84	       147074944.59	      1714137346.43	       834829371.96	      6777205683.98	      3925622006.91	      1740873010.88	      5666495017.79	      1110710666.19	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      9326172402.37	      5492684408.75	      1887947955.47	      7380632364.22	      1945540038.15
6*  NLC TTPP Main Packag PRJ NL-C-TPP-002	      9595668774.40	      1529689520.00	      4465979254.40	      5995668774.40	      3600000000.00	      5995668774.40	      1529689520.00	               0.00	      1529689520.00	      4465979254.40	      3600000000.00	               0.00	      4465979254.40	      4465979254.40	      -865979254.40	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      9595668774.40	      1529689520.00	      4465979254.40	      5995668774.40	      3600000000.00
6*  TS I Switchyard Modi PRJ NL-C-TS1-001	       310612947.59	       291190683.56	        19416779.39	       310607462.95	            5484.64	       310612947.59	       283409806.11	        19416779.39	       302826585.50	         7786362.09	               0.00	         7780877.45	               0.00	         7780877.45	        -7780877.45	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       310612947.59	       291190683.56	        19416779.39	       310607462.95	            5484.64
6*  Wind Turbine Project PRJ NL-C-WND-001	        23203970.00	        18416660.00	         4604165.00	        23020825.00	          183145.00	        23203970.00	        18416660.00	         4604165.00	        23020825.00	          183145.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        23203970.00	        18416660.00	         4604165.00	        23020825.00	          183145.00
6*  50 MW Wind Project   PRJ NL-C-WND-002	      3439334918.15	      2947237370.23	       267312149.95	      3214549520.18	       224785397.97	      2928210854.69	      2928210854.69	               0.00	      2928210854.69	               0.00	       511124063.46	        19026515.54	       267312149.95	       286338665.49	       224785397.97	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      3439334918.15	      2947237370.23	       267312149.95	      3214549520.18	       224785397.97
6*  MACHHAKATA (REVISED) PRJ NL-F-MAC-001	      2264148400.00	       -10897077.60	       516480199.27	       505583121.67	      1758565278.33	       368607886.40	       -21870277.48	       431290000.00	       409419722.52	       -40811836.12	      1895540513.60	        10973199.88	        85190199.27	        96163399.15	      1799377114.45	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      2264148400.00	       -10897077.60	       516480199.27	       505583121.67	      1758565278.33
6*  Raipura Phosphorite  PRJ NL-F-MRP-001	       233500000.00	               0.00	         7739741.00	         7739741.00	       225760259.00	               0.00	               0.00	               0.00	               0.00	               0.00	       233500000.00	               0.00	         7739741.00	         7739741.00	       225760259.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       233500000.00	               0.00	         7739741.00	         7739741.00	       225760259.00
6*  Semhardih Phosphorit PRJ NL-F-MSP-001	       231600000.00	               0.00	         7739741.00	         7739741.00	       223860259.00	               0.00	               0.00	               0.00	               0.00	               0.00	       231600000.00	               0.00	         7739741.00	         7739741.00	       223860259.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       231600000.00	               0.00	         7739741.00	         7739741.00	       223860259.00
6*  North Dhadu (Western PRJ NL-F-NDM-001	      1282716098.47	        83217115.52	       246374213.19	       329591328.71	       953124769.76	        77248977.09	        77120163.89	           30000.00	        77150163.89	           98813.20	      1205467121.38	         6096951.63	       246344213.19	       252441164.82	       953025956.56	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      1282716098.47	        83217115.52	       246374213.19	       329591328.71	       953124769.76
6*  Rajasthan Gurha Powe PRJ NL-F-RGP-001	         3726735.00	          531000.00	          472000.00	         1003000.00	         2723735.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3726735.00	          531000.00	          472000.00	         1003000.00	         2723735.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3726735.00	          531000.00	          472000.00	         1003000.00	         2723735.00
6*  NLC Talabira Thermal PRJ NL-F-TPP-001	        59621587.00	          902899.66	        58718687.07	        59621586.73	               0.27	               0.00	               0.00	               0.00	               0.00	               0.00	        59621587.00	          902899.66	        58718687.07	        59621586.73	               0.27	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        59621587.00	          902899.66	        58718687.07	        59621586.73	               0.27
6*  Barsingsar Mines Cap PRJ NL-M-BMN-001	         2700000.00	               0.00	               0.00	               0.00	         2700000.00	         2700000.00	               0.00	               0.00	               0.00	         2700000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2700000.00	               0.00	               0.00	               0.00	         2700000.00
6*  Mine 1A Capital Mate PRJ NL-M-M1A-001	       212961902.14	       116904438.18	        25188033.66	       142092471.84	        70869430.30	       212961902.14	       115301350.17	        25188033.66	       140489383.83	        72472518.31	               0.00	         1603088.01	               0.00	         1603088.01	        -1603088.01	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       214561902.14	       116904438.18	        25188033.66	       142092471.84	        72469430.30
6*  Mech. Services Capit PRJ NL-M-MES-001	       262789970.00	       203617984.96	         8484193.70	       212102178.66	        50687791.34	       262789970.00	       203617984.96	         8484193.70	       212102178.66	        50687791.34	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       262789970.00	       203617984.96	         8484193.70	       212102178.66	        50687791.34
6*  Mine 1 Capital Mater PRJ NL-M-MN1-001	       544311577.58	       421099462.04	        14525503.84	       435624965.88	       108686611.70	       544311577.58	       421099462.04	         6319686.84	       427419148.88	       116892428.70	               0.00	               0.00	         8205817.00	         8205817.00	        -8205817.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       545911586.58	       421099462.04	        14525503.84	       435624965.88	       110286620.70
6*  Mine 2 Capital Mater PRJ NL-M-MN2-001	       831745340.61	       468932288.50	        24438279.05	       493370567.55	       338374773.06	       831745340.61	       415750570.87	         8026645.05	       423777215.92	       407968124.69	               0.00	        53181717.63	        16411634.00	        69593351.63	       -69593351.63	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       831745340.61	       468932288.50	        24438279.05	       493370567.55	       338374773.06
6*  NNTP Capital Materia PRJ NL-M-NNT-001	      1246930688.53	       253649363.83	       237236382.75	       490885746.58	       756044941.95	       140901906.53	       140901906.53	               0.00	       140901906.53	               0.00	      1106028782.00	       112747457.30	       230302944.74	       343050402.04	       762978379.96	               0.00	               0.00	         6933438.01	         6933438.01	        -6933438.01	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      1246930688.53	       253649363.83	       237236382.75	       490885746.58	       756044941.95
6*  PRO Material Project PRJ NL-M-PRO-001	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
6*  Safety Capital Mater PRJ NL-M-SFT-001	         8766352.12	         8766352.12	               0.00	         8766352.12	               0.00	         8766352.12	         8766352.12	               0.00	         8766352.12	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8766352.12	         8766352.12	               0.00	         8766352.12	               0.00
6*  TPS 1 Exp. Capital M PRJ NL-M-T1E-001	        40000000.00	               0.00	               0.00	               0.00	        40000000.00	        40000000.00	               0.00	               0.00	               0.00	        40000000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        40000000.00	               0.00	               0.00	               0.00	        40000000.00
6*  TPS2Exp - Capital Ma PRJ NL-M-T2E-001	       724331326.65	       478980409.23	       191391254.43	       670371663.66	        53959662.99	       291864203.68	       291864203.68	               0.00	       291864203.68	               0.00	       432467122.97	       187116205.55	       172016161.43	       359132366.98	        73334755.99	               0.00	               0.00	        19375093.00	        19375093.00	       -19375093.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       724331326.65	       478980409.23	       191391254.43	       670371663.66	        53959662.99
6*  Board Section Non-Pl PRJ NL-N-BOD-001	          150000.00	               0.00	          149918.94	          149918.94	              81.06	               0.00	               0.00	               0.00	               0.00	               0.00	          150000.00	               0.00	          149918.94	          149918.94	              81.06	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          150000.00	               0.00	          149918.94	          149918.94	              81.06
6*  Barsingsar Thermal N PRJ NL-N-BSP-001-01	      1742662595.61	       591132876.11	       780071564.98	      1371204443.71	       371458151.90	       443494090.94	       442036475.33	        12945489.29	       454981964.62	       -11487873.68	      1299168504.67	       149096400.78	       447280689.93	       596377093.33	       702791411.34	               0.00	               0.00	       312706953.81	       312706953.81	      -312706953.81	               0.00	               0.00	         7138431.95	         7138431.95	        -7138431.95	               0.00	               0.00	               0.00	               0.00	               0.00	      1751041776.61	       591132876.11	       780071564.98	      1371204443.71	       379837332.90
6*  Central Establishmen PRJ NL-N-CES-001	       324078232.16	       207814106.64	         8392613.64	       216206720.28	       107871511.88	       324078232.16	       207539644.63	         8392613.64	       215932258.27	       108145973.89	               0.00	          274462.01	               0.00	          274462.01	         -274462.01	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       370898588.67	       207814106.64	         8392613.64	       216206720.28	       154691868.39
6*  Manager Corporate Of PRJ NL-N-CES-002	         1767875.53	         1713150.02	           53421.00	         1766571.02	            1304.51	         1767875.53	         1713150.02	           53421.00	         1766571.02	            1304.51	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1767875.53	         1713150.02	           53421.00	         1766571.02	            1304.51
6*  CISF Non-Plan CapEx  PRJ NL-N-CIS-001	        20223037.03	         2241470.57	         5187462.96	         7428933.53	        12794103.50	         2000536.57	         2000536.57	               0.00	         2000536.57	               0.00	        18222500.46	          240934.00	         5187462.96	         5428396.96	        12794103.50	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        20223037.03	         2241470.57	         5187462.96	         7428933.53	        12794103.50
6*  Computer Services No PRJ NL-N-COM-001	       186583156.27	       123514272.19	        53933562.08	       177447834.27	         9135322.00	       115280492.09	       115280492.09	               0.00	       115280492.09	               0.00	        71302664.18	         8233780.10	        53933562.08	        62167342.18	         9135322.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       186583156.27	       123514272.19	        53933562.08	       177447834.27	         9135322.00
6*  Corporate Contracts  PRJ NL-N-CON-001	        10508580.72	         8061952.72	          494418.31	         8556371.03	         1952209.69	         8014162.72	         8014162.72	               0.00	         8014162.72	               0.00	         2494418.00	           47790.00	          494418.31	          542208.31	         1952209.69	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        10508580.72	         8061952.72	          494418.31	         8556371.03	         1952209.69
